name,type,hp,attack,defense,sp_attack,sp_defense,speed,generation,rarity,is_legendary,set_name,price_usd
Solrock,Psychic,72,70,48,53,82,79,1,Rare,False,Fossil,1.38
Torchic,Fire,78,47,54,39,52,33,1,Uncommon,False,Base Set 2,1.0
Sneasel,Dark,85,62,77,69,68,62,1,Rare,False,Jungle,1.31
Ponyta EX,Fire,127,104,51,58,52,50,1,Rare Holo,True,Jungle,12.47
Azurill,Fairy,54,38,49,54,52,63,1,Uncommon,False,Neo Discovery,0.33
Tentacool,Water,42,55,54,46,36,58,1,Common,False,Jungle,0.41
Corsola,Water,66,69,42,87,46,84,1,Rare,False,Gym Challenge,1.61
Pignite,Fire,35,69,40,29,30,32,1,Common,False,Gym Challenge,0.33
Lotad,Grass,60,44,39,57,75,51,1,Uncommon,False,Gym Challenge,0.44
Swampert,Water,100,36,66,73,53,81,1,Rare,False,Gym Heroes,1.54
Torkoal,Fire,69,55,37,32,55,43,1,Uncommon,False,Jungle,0.38
Abra,Psychic,48,38,34,52,53,52,1,Common,False,Gym Heroes,0.35
Latios,Psychic,55,36,42,48,62,72,1,Uncommon,False,Gym Challenge,0.67
Girafarig,Psychic,76,40,55,81,94,77,1,Rare,False,Neo Discovery,1.38
Primeape,Fighting,195,100,136,112,85,103,1,Rare Holo GX,True,Base Set 2,53.45
Persian,Normal,95,71,80,68,61,61,1,Rare,False,Fossil,0.67
Whismur,Normal,30,44,58,37,35,56,1,Common,False,Fossil,0.12
Tyranitar,Dark,110,84,93,99,80,57,1,Rare Holo,False,Fossil,6.52
Yveltal,Dark,46,52,59,44,41,29,1,Common,False,Gym Challenge,0.22
Munna,Psychic,63,40,50,63,79,87,1,Rare,False,Base Set,2.26
Scorbunny,Fire,30,54,32,36,39,38,1,Common,False,Fossil,0.13
Corsola,Water,30,46,46,58,21,64,1,Common,False,Team Rocket,0.19
Electrode GX,Electric,102,54,45,43,47,56,1,Uncommon,True,Gym Challenge,0.69
Tentacool,Water,41,43,53,51,37,57,1,Common,False,Team Rocket,0.75
Dratini,Dragon,66,78,71,50,59,58,1,Uncommon,False,Team Rocket,1.28
Kommo-o EX,Dragon,148,131,120,109,135,103,1,Rare Holo EX,True,Base Set 2,134.75
Purrloin,Dark,57,49,66,49,38,50,1,Common,False,Jungle,0.27
Spoink,Psychic,93,49,52,81,118,99,1,Rare Holo,False,Team Rocket,8.68
Articuno,Flying,94,53,50,36,64,50,1,Uncommon,False,Team Rocket,0.74
Togedemaru,Steel,53,54,63,75,56,69,1,Uncommon,False,Base Set 2,0.42
Honchkrow V,Dark,66,66,51,47,53,61,1,Common,True,Jungle,0.55
Drifblim,Ghost,71,26,54,58,74,56,1,Uncommon,False,Gym Challenge,0.65
Nidorina,Poison,54,52,59,71,62,51,1,Rare,False,Jungle,1.16
Braixen,Fire,89,78,41,40,62,30,1,Rare,False,Team Rocket,2.66
Azumarill,Water,57,45,67,59,35,73,1,Common,False,Team Rocket,0.17
Metang,Steel,192,98,99,115,87,118,1,Rare Holo EX,True,Jungle,38.95
Roserade,Grass,205,114,117,114,123,112,1,Rare Ultra,True,Fossil,240.56
Joltik,Electric,72,39,52,37,34,43,1,Common,False,Base Set,0.22
Gastly EX,Ghost,55,54,48,41,75,56,1,Common,True,Fossil,0.45
Litten,Fire,30,70,55,26,41,42,1,Common,False,Gym Heroes,0.67
Pinsir,Bug,171,102,123,95,99,104,1,Rare Holo GX,True,Gym Challenge,78.73
Grumpig V,Psychic,63,28,68,60,96,103,1,Rare,True,Base Set 2,4.07
Raikou,Electric,55,39,34,34,31,46,1,Common,False,Fossil,0.07
Sableye,Dark,100,48,55,53,69,44,1,Uncommon,False,Fossil,0.67
Golduck,Water,50,40,23,60,27,43,1,Common,False,Neo Discovery,0.59
Croagunk,Fighting,87,55,96,71,36,86,1,Rare,False,Gym Challenge,1.53
Primeape,Fighting,62,35,65,64,25,45,1,Common,False,Gym Heroes,0.11
Roserade,Grass,73,32,56,56,44,67,1,Uncommon,False,Jungle,0.26
Gastrodon,Water,92,73,38,54,50,74,1,Uncommon,False,Neo Genesis,0.19
Froslass,Ice,49,38,40,49,41,50,1,Common,False,Neo Genesis,0.15
Furret,Normal,61,61,59,44,54,61,1,Uncommon,False,Neo Genesis,0.98
Camerupt,Fire,68,55,48,44,44,54,1,Uncommon,False,Base Set 2,0.22
Alakazam GX,Psychic,40,42,46,52,57,84,1,Common,True,Gym Challenge,0.48
Spiritomb,Ghost,202,78,95,97,147,125,1,Rare Ultra,True,Fossil,224.37
Ninetales,Fire,65,78,65,50,71,44,1,Uncommon,False,Fossil,0.79
Zekrom,Electric,133,72,65,58,79,49,1,Rare Holo,False,Base Set 2,10.15
Volbeat,Bug,102,59,65,66,62,53,1,Rare,True,Team Rocket,2.8
Anorith,Bug,82,42,85,43,77,68,1,Uncommon,False,Fossil,0.45
Zigzagoon,Normal,52,47,37,47,61,56,1,Uncommon,False,Neo Genesis,1.69
Empoleon,Water,71,58,56,58,52,84,1,Uncommon,False,Gym Heroes,1.09
Gyarados,Water,85,70,72,98,47,103,1,Rare Holo,False,Neo Discovery,4.3
Dedenne,Fairy,79,62,42,47,53,68,1,Uncommon,False,Fossil,1.2
Seedot,Grass,66,54,72,71,63,42,1,Uncommon,False,Neo Genesis,2.0
Corsola,Water,90,58,41,62,70,80,1,Rare,False,Base Set,3.02
Clefable,Fairy,93,53,39,52,67,70,1,Uncommon,False,Fossil,0.3
Lotad,Water,126,84,50,80,57,113,1,Rare Holo,False,Neo Discovery,6.83
Butterfree,Bug,82,48,60,54,31,44,1,Uncommon,False,Jungle,0.57
Raichu,Electric,51,58,60,38,53,43,1,Uncommon,False,Neo Discovery,0.83
Heliolisk,Electric,104,55,73,62,84,62,1,Rare,False,Gym Challenge,2.39
Rotom,Electric,31,23,60,55,52,35,1,Common,False,Gym Heroes,0.31
Tepig,Fire,94,82,29,29,47,48,1,Uncommon,False,Gym Heroes,0.41
Mandibuzz GX,Dark,102,80,86,79,95,70,1,Rare Holo,True,Neo Genesis,17.42
Swinub,Ice,31,46,47,57,45,72,1,Common,False,Neo Discovery,0.28
Mienshao,Fighting,84,69,100,83,33,55,1,Rare,False,Base Set,1.56
Magmar,Fire,80,84,56,51,54,48,1,Uncommon,False,Jungle,0.25
Ariados EX,Poison,89,64,71,67,67,81,1,Rare,True,Gym Challenge,3.46
Boltund,Electric,103,35,87,48,37,68,1,Rare,False,Gym Challenge,1.43
Stufful,Fighting,83,36,98,74,58,65,1,Rare,False,Gym Challenge,1.73
Houndour,Fire,82,98,78,45,58,70,1,Rare,False,Gym Challenge,4.28
Floatzel,Water,52,34,37,54,42,70,1,Common,False,Team Rocket,0.15
Cleffa,Fairy,112,74,54,73,83,101,1,Rare Holo,False,Fossil,2.9
Camerupt EX,Fire,171,124,85,57,95,105,1,Rare Holo EX,True,Base Set,90.55
Delphox,Fire,103,65,25,33,52,30,1,Uncommon,False,Fossil,0.6
Pawniard,Dark,66,45,48,54,50,63,1,Common,False,Neo Genesis,0.38
Crawdaunt,Dark,64,59,63,51,48,46,1,Uncommon,False,Team Rocket,0.86
Igglybuff,Fairy,202,109,76,112,119,123,1,Rare Holo GX,True,Jungle,72.86
Pansage,Grass,65,39,50,53,65,50,1,Uncommon,False,Jungle,0.93
Avalugg,Ice,30,49,38,52,68,44,1,Common,False,Fossil,0.65
Cacturne EX,Dark,48,24,62,55,32,40,1,Common,True,Base Set 2,0.22
Infernape,Fire,30,62,34,22,53,46,1,Common,False,Team Rocket,0.22
Flygon,Dragon,53,48,81,68,75,57,1,Uncommon,False,Neo Genesis,0.93
Jolteon,Electric,44,56,30,40,42,56,1,Common,False,Base Set 2,0.5
Vikavolt,Electric,30,51,40,54,64,36,1,Common,True,Jungle,1.7
Serperior,Grass,162,82,94,93,114,91,1,Rare Holo EX,True,Gym Heroes,45.89
Haxorus,Dragon,105,70,70,58,93,75,1,Rare,False,Gym Challenge,2.2
Growlithe,Fire,71,56,56,54,59,44,1,Uncommon,False,Base Set 2,1.73
Tyranitar,Dark,76,75,62,56,49,48,1,Uncommon,False,Gym Challenge,0.41
Growlithe,Fire,48,48,45,29,47,50,1,Common,False,Neo Genesis,0.22
Magneton,Electric,136,59,102,53,62,52,1,Rare,False,Base Set 2,0.77
Krookodile,Dark,61,66,64,61,52,70,1,Uncommon,False,Jungle,0.26
Ninetales GX,Fire,67,63,63,60,47,50,1,Uncommon,True,Base Set,1.29
Roserade EX,Grass,68,31,69,52,58,52,1,Uncommon,True,Neo Discovery,1.68
Plusle,Electric,158,66,124,53,95,58,1,Rare Holo EX,True,Base Set,78.19
Honchkrow,Dark,76,50,61,55,55,47,1,Uncommon,False,Team Rocket,0.4
Gyarados,Water,99,51,54,70,49,49,1,Uncommon,False,Gym Challenge,0.34
Floatzel,Water,176,82,95,115,71,105,1,Rare Holo EX,True,Gym Heroes,53.35
Bulbasaur,Grass,169,100,99,103,105,90,1,Rare Holo EX,True,Neo Genesis,101.75
Kakuna,Bug,52,38,38,53,36,42,1,Common,False,Base Set 2,0.18
Slakoth,Normal,98,70,60,76,61,64,1,Rare,False,Gym Heroes,0.89
Altaria,Dragon,87,82,83,38,89,60,1,Uncommon,False,Neo Genesis,0.54
Meowth,Normal,79,54,54,42,52,37,1,Uncommon,False,Gym Challenge,0.66
Delibird,Flying,62,47,47,36,44,32,1,Common,False,Base Set 2,0.2
Pansage,Grass,61,59,78,77,70,47,1,Rare,False,Neo Discovery,1.03
Drifblim,Ghost,50,29,50,38,67,54,1,Common,False,Gym Challenge,0.08
Druddigon,Dragon,57,37,71,46,57,57,1,Common,False,Team Rocket,0.44
Dusclops,Ghost,76,46,51,51,78,69,1,Rare,False,Team Rocket,2.82
Finneon,Water,58,33,52,41,46,39,1,Common,False,Jungle,0.11
Metang,Steel,30,53,39,48,45,48,1,Common,False,Neo Discovery,0.17
Gabite,Dragon,40,57,70,51,64,71,1,Common,False,Fossil,0.13
Weezing,Poison,30,45,50,50,40,51,1,Common,False,Neo Discovery,0.12
Pinsir,Bug,81,34,70,70,56,75,1,Rare,False,Gym Heroes,2.5
Yamask,Ghost,39,28,33,24,48,50,1,Common,False,Fossil,0.1
Luxio,Electric,106,58,104,74,72,39,1,Rare Holo,False,Base Set,6.22
Meditite,Psychic,88,45,44,57,100,91,1,Rare,False,Jungle,1.87
Emboar,Fire,90,77,48,28,43,44,1,Uncommon,False,Team Rocket,0.48
Riolu,Fighting,54,53,82,66,22,44,1,Uncommon,False,Gym Heroes,0.48
Empoleon,Water,86,77,64,73,49,73,1,Rare,False,Base Set,1.9
Volbeat,Bug,70,31,57,52,57,48,1,Uncommon,True,Gym Heroes,0.55
Silcoon,Bug,46,24,53,58,30,50,1,Common,False,Team Rocket,0.14
Hydreigon,Dark,49,41,60,55,55,55,1,Common,False,Team Rocket,0.3
Togetic,Flying,174,78,98,62,89,93,1,Rare Holo EX,True,Neo Genesis,76.94
Zekrom,Dragon,61,50,77,47,60,52,1,Common,False,Fossil,0.21
Suicune EX,Water,58,31,43,48,60,67,1,Uncommon,True,Neo Genesis,1.64
Dragonair,Dragon,38,41,51,59,59,42,1,Common,False,Neo Genesis,0.21
Magikarp,Water,98,73,59,68,45,57,1,Rare,False,Neo Discovery,1.28
Spheal,Ice,88,58,81,91,82,88,1,Rare Holo,False,Team Rocket,4.33
Nidoking,Poison,66,32,52,27,44,53,1,Common,False,Team Rocket,0.34
Blaziken,Fire,98,107,66,30,63,74,1,Rare,False,Gym Challenge,2.42
Vullaby,Dark,46,44,63,35,62,40,1,Common,True,Neo Discovery,1.14
Goodra,Dragon,75,76,98,62,74,68,1,Uncommon,False,Base Set 2,0.94
Claydol,Psychic,125,52,58,81,89,78,1,Rare Holo,False,Neo Genesis,4.99
Xatu,Psychic,63,36,43,69,98,92,1,Uncommon,False,Jungle,1.08
Liepard,Dark,77,62,75,58,76,72,1,Rare,False,Base Set 2,0.44
Raboot,Fire,62,64,26,36,50,58,1,Common,False,Gym Heroes,0.14
Gloom,Poison,174,66,107,106,116,107,1,Rare Holo EX,True,Fossil,126.04
Litwick,Ghost,67,30,53,50,68,31,1,Uncommon,False,Neo Discovery,0.44
Piplup,Water,75,48,57,67,38,57,1,Uncommon,False,Fossil,0.81
Weepinbell,Poison,59,42,59,55,48,42,1,Uncommon,False,Jungle,0.3
Metang,Steel,46,54,61,65,50,58,1,Uncommon,False,Fossil,0.63
Starly,Flying,48,46,40,45,71,37,1,Common,False,Gym Heroes,0.26
Murkrow V,Dark,51,53,61,74,77,43,1,Uncommon,True,Gym Heroes,1.79
Tentacruel,Water,79,41,62,78,66,84,1,Rare,False,Neo Genesis,2.61
Typhlosion,Fire,95,80,72,55,70,95,1,Rare Holo,False,Gym Heroes,4.16
Manectric,Electric,30,52,47,25,33,28,1,Common,False,Neo Genesis,0.28
Gurdurr,Fighting,30,57,90,56,34,41,1,Common,False,Team Rocket,0.74
Pelipper,Water,73,52,62,67,67,68,1,Rare,False,Team Rocket,2.04
Umbreon EX,Dark,82,50,81,60,72,58,1,Rare,True,Neo Discovery,6.62
Minun,Electric,88,56,87,44,59,58,1,Rare,False,Fossil,1.32
Braixen,Fire,32,80,55,40,49,43,1,Common,False,Fossil,0.22
Gastrodon,Water,89,77,67,96,50,89,1,Rare Holo,False,Gym Heroes,16.58
Ralts EX,Psychic,57,36,38,49,71,71,1,Common,True,Jungle,0.79
Swampert,Water,75,48,40,63,37,65,1,Uncommon,False,Base Set,1.02
Suicune EX,Water,185,92,107,125,88,122,1,Rare Holo GX,True,Neo Discovery,73.36
Simisage,Grass,42,22,50,57,46,38,1,Common,False,Neo Genesis,0.25
Anorith,Rock,48,48,55,76,25,52,1,Common,False,Neo Discovery,0.29
Cascoon,Bug,59,29,52,44,48,41,1,Common,False,Base Set 2,0.15
Zeraora,Electric,78,59,57,45,61,41,1,Uncommon,False,Fossil,0.63
Zorua,Dark,52,54,52,53,52,43,1,Common,False,Neo Discovery,0.11
Jirachi,Psychic,56,35,39,54,88,66,1,Uncommon,False,Base Set,0.42
Piplup,Water,30,36,47,56,18,54,1,Common,False,Fossil,0.39
Pikachu,Electric,95,63,85,37,73,46,1,Rare,False,Team Rocket,1.79
Pidgeotto,Normal,80,56,65,74,84,60,1,Rare,False,Fossil,2.71
Azelf,Psychic,82,45,42,79,74,68,1,Uncommon,False,Gym Heroes,0.57
Magcargo,Fire,58,63,46,49,52,42,1,Uncommon,False,Neo Discovery,0.68
Doublade,Steel,88,78,83,105,49,100,1,Rare Holo,False,Fossil,19.89
Swirlix,Fairy,49,67,25,70,77,61,1,Uncommon,False,Team Rocket,0.45
Linoone,Normal,69,58,39,42,28,36,1,Common,False,Gym Heroes,0.24
Drifloon,Ghost,67,23,45,38,58,48,1,Common,False,Fossil,0.33
Lapras,Water,43,55,40,32,41,54,1,Common,False,Neo Discovery,0.22
Kirlia,Psychic,56,52,57,51,70,41,1,Common,False,Fossil,0.2
Torchic,Fire,50,64,49,16,43,28,1,Common,False,Jungle,0.06
Tentacool,Poison,65,35,64,49,58,86,1,Uncommon,False,Fossil,0.26
Chimchar,Fire,106,84,59,45,65,52,1,Rare,False,Base Set 2,1.28
