name,hp,attack,defense,sp_attack,sp_defense,speed,generation,rarity,is_legendary,set_name,price_usd,type
Altaria,53,69,75,48,55,50,1,Uncommon,False,Jungle,0.83,Dragon
Ariados EX,55,27,53,50,44,30,8,Common,True,151,0.19,Bug
Infernape EX,78,78,47,35,65,57,7,Uncommon,True,Chilling Reign,2.38,Fire
Tepig,201,140,89,73,99,97,8,Rare Holo GX,True,Paldean Fates,40.87,Fire
Bewear,62,47,73,68,58,64,4,Uncommon,False,Majestic Dawn,0.27,Fighting
Abomasnow EX,76,50,69,71,78,41,5,Uncommon,True,Flashfire,1.8,Grass
Poliwrath,44,48,46,78,37,51,5,Common,False,Phantom Forces,0.31,Water
Tyrogue,92,54,74,60,45,59,1,Uncommon,False,Jungle,0.24,Fighting
Numel,62,50,59,43,53,33,2,Common,False,Aquapolis,0.5,Ground
Glaceon,93,73,64,70,75,76,8,Rare,False,Paldean Fates,2.43,Ice
Delphox,88,64,45,34,51,42,1,Uncommon,False,Gym Heroes,1.03,Fire
Medicham,124,50,51,70,84,68,6,Rare,False,Burning Shadows,4.61,Psychic
Drifloon,52,45,59,42,58,49,9,Common,False,Temporal Forces,0.52,Ghost
Charmander,61,64,47,49,38,35,8,Uncommon,False,Scarlet & Violet,0.27,Fire
Umbreon,74,70,91,59,86,64,8,Rare,False,Paradox Rift,1.76,Dark
Empoleon,83,51,62,64,63,57,8,Uncommon,False,Scarlet & Violet,0.45,Water
Gyarados,85,70,72,98,47,103,1,Rare Holo,False,Neo Discovery,4.3,Water
Misdreavus,66,32,56,52,65,55,3,Common,False,EX FireRed & LeafGreen,0.19,Ghost
Sentret,113,49,70,61,65,57,6,Rare,False,Ultra Prism,2.51,Normal
Lugia,73,39,53,23,53,38,5,Uncommon,False,Phantom Forces,0.7,Flying
Crabrawler,77,65,47,68,38,44,7,Common,False,Vivid Voltage,0.22,Fighting
Pawniard,54,46,42,85,48,66,5,Uncommon,False,Flashfire,0.43,Steel
Wooper,69,66,58,63,53,41,4,Uncommon,False,Legends Awakened,1.14,Ground
Gothorita,40,15,35,36,54,39,3,Common,False,EX Emerald,0.09,Psychic
Shiftry,73,64,85,88,87,83,1,Rare Holo,False,Fossil,2.55,Grass
Seedot,92,50,73,85,79,66,5,Rare,False,Flashfire,1.73,Grass
Dhelmise EX,80,56,39,58,81,63,3,Uncommon,True,Team Magma vs Team Aqua,0.77,Ghost
Hoopa,90,47,55,84,103,86,3,Rare Holo,False,EX FireRed & LeafGreen,2.62,Ghost
Servine EX,48,41,40,54,51,36,8,Common,True,Paldea Evolved,0.74,Grass
Latias,30,36,61,49,63,54,2,Common,False,Neo Destiny,0.21,Dragon
Slowpoke,114,48,50,74,87,69,7,Rare,False,Battle Styles,0.91,Psychic
Dratini,74,66,69,67,78,65,4,Rare,False,Mysterious Treasures,1.19,Dragon
Venonat,55,25,67,63,55,52,4,Uncommon,True,Secret Wonders,1.25,Bug
Polteageist,98,52,49,55,67,48,1,Uncommon,False,Base Set 2,0.57,Ghost
Mamoswine,187,113,109,135,121,115,1,Rare Ultra,True,Gym Heroes,207.86,Ice
Wigglytuff,163,96,63,95,110,109,3,Rare Holo EX,True,EX FireRed & LeafGreen,46.22,Fairy
Chikorita,33,57,63,51,70,49,5,Uncommon,False,Furious Fists,0.64,Grass
Exeggutor,171,67,74,104,135,116,6,Rare Holo EX,True,Forbidden Light,60.66,Psychic
Cradily,48,40,40,73,42,67,3,Common,False,Dragon,0.38,Rock
Machamp EX,89,46,83,98,53,57,6,Rare,True,Crimson Invasion,9.27,Fighting
Infernape,109,85,67,46,77,68,6,Rare Holo,False,Crimson Invasion,3.46,Fire
Snubbull,80,65,30,60,71,62,4,Uncommon,False,Mysterious Treasures,0.49,Fairy
Raboot GX,101,88,51,67,84,58,5,Rare Holo,True,Phantom Forces,13.59,Fire
Exeggcute,46,37,49,45,67,45,7,Common,False,Battle Styles,0.31,Grass
